"url	page	""page without timeline""	date"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130530040841id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130530040841/http://www.ut.ee:80/et	20130530040841"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130531205150id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130531205150/http://www.ut.ee:80/et	20130531205150"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130601212404id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130601212404/http://www.ut.ee:80/et	20130601212404"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130604081606id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130604081606/http://www.ut.ee:80/et	20130604081606"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130607135042id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130607135042/http://www.ut.ee/et	20130607135042"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130703052840id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130703052840/http://www.ut.ee/et	20130703052840"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130703092621id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130703092621/http://www.ut.ee:80/et	20130703092621"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130713043940id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130713043940/http://www.ut.ee:80/et	20130713043940"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130723012738id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130723012738/http://www.ut.ee:80/et	20130723012738"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130805043331id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130805043331/http://www.ut.ee:80/et	20130805043331"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130820225113id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130820225113/http://www.ut.ee:80/et	20130820225113"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130825054720id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130825054720/http://www.ut.ee:80/et	20130825054720"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130901153210id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130901153210/http://www.ut.ee:80/et	20130901153210"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130914184922id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130914184922/http://www.ut.ee:80/et	20130914184922"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130922085240id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130922085240/http://www.ut.ee/et	20130922085240"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130929054827id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130929054827/http://www.ut.ee:80/et	20130929054827"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131003010140id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131003010140/http://www.ut.ee/et	20131003010140"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131004013823id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131004013823/http://www.ut.ee:80/et	20131004013823"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131014160915id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131014160915/http://www.ut.ee/et	20131014160915"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131023030500id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131023030500/http://www.ut.ee/et	20131023030500"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131023100723id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131023100723/http://www.ut.ee:80/et	20131023100723"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131031015437id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131031015437/http://www.ut.ee:80/et	20131031015437"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131031025503id_/https://www.ut.ee/et	http://wayback.archive.org/web/20131031025503/https://www.ut.ee/et	20131031025503"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131105110344id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131105110344/http://www.ut.ee:80/et	20131105110344"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131122060547id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131122060547/http://www.ut.ee:80/et	20131122060547"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131208115507id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131208115507/http://www.ut.ee:80/et	20131208115507"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131208121158id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131208121158/http://www.ut.ee/et	20131208121158"
